id,y
1,3
2,3
3,5
4,5
5,4
6,4
7,4
8,4
9,6
10,3
11,3
12,4
13,4
14,4
15,4
16,4
17,3
18,3
19,2
20,4
21,4
22,3
23,6
24,6
25,4
26,4
27,4
28,4
29,6
30,4
31,8
32,4
33,3
34,4
35,4
36,5
37,3
38,3
39,3
40,5
41,3
42,6
43,3
44,3
45,4
46,3
47,5
48,3
49,3
50,6
51,3
52,3
53,4
54,4
55,4
56,4
57,4
58,4
59,3
60,4
61,5
62,4
63,6
64,3
65,5
66,3
67,4
68,5
69,5
70,3
71,3
72,4
73,4
74,5
75,3
76,5
77,3
78,5
79,4
80,4
81,5
82,3
83,3
84,3
85,4
86,3
87,4
88,5
89,3
90,4
91,3
92,3
93,4
94,4
95,3
96,4
97,3
98,4
99,4
100,5
101,3
102,4
103,5
104,3
105,4
106,4
107,3
108,3
109,4
110,4
111,3
112,3
113,4
114,4
115,4
116,4
117,5
118,3
119,4
120,3
121,4
122,4
123,3
124,3
125,4
126,3
127,3
128,4
129,4
130,3
131,3
132,3
133,5
134,3
135,7
136,5
137,6
138,4
139,4
140,4
141,8
142,4
143,4
144,4
145,4
146,4
147,5
148,4
149,4
150,3
151,3
152,5
153,5
154,4
155,3
156,3
157,4
158,3
159,4
160,3
161,4
162,4
163,4
164,4
165,8
166,3
167,4
168,3
169,5
170,6
171,4
172,7
173,3
174,4
175,3
176,4
177,3
178,5
179,5
180,3
181,4
182,3
183,4
184,3
185,3
186,3
187,4
188,3
189,3
190,4
191,4
192,4
193,5
194,4
195,7
196,4
197,5
198,4
199,5
200,3
201,5
202,4
203,4
204,4
205,5
206,5
207,3
208,3
209,3
210,4
211,7
212,3
213,5
214,3
215,3
216,4
217,4
218,3
219,4
220,6
221,3
222,4
223,6
224,3
225,5
226,3
227,4
228,3
229,6
230,4
231,4
232,3
233,3
234,5
235,2
236,4
237,5
238,4
239,6
240,4
241,4
242,5
243,4
244,4
245,4
246,4
247,3
248,3
249,4
250,5
251,3
252,4
253,3
254,4
255,7
256,4
257,3
258,4
259,4
260,4
261,4
262,5
263,4
264,3
265,4
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,4
275,3
276,3
277,6
278,5
279,4
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,4
289,8
290,4
291,3
292,5
293,5
294,3
295,7
296,6
297,3
298,3
299,4
300,7
301,7
302,3
303,3
304,3
305,4
306,4
307,4
308,3
309,3
310,5
311,4
312,4
313,5
314,3
315,4
316,4
317,5
318,2
319,4
320,4
321,3
322,3
323,6
324,5
325,4
326,5
327,5
328,3
329,3
330,4
331,4
332,4
333,7
334,5
335,3
336,4
337,7
338,4
339,3
340,6
341,5
342,3
343,3
344,4
345,3
346,3
347,6
348,3
349,5
350,3
351,4
352,3
353,3
354,4
355,6
356,4
357,4
358,3
359,4
360,5
361,4
362,4
363,6
364,4
365,3
366,3
367,5
368,3
369,5
370,3
371,5
372,4
373,5
374,3
375,5
376,3
377,7
378,7
379,3
380,3
381,3
382,3
383,4
384,3
385,3
386,3
387,4
388,3
389,3
390,3
391,4
392,4
393,4
394,5
395,4
396,5
397,3
398,4
399,5
400,3
401,3
402,3
403,4
404,3
405,6
406,3
407,4
408,3
409,4
410,5
411,3
412,3
413,5
414,4
415,3
416,3
417,3
418,4
419,5
420,3
421,5
422,5
423,4
424,4
425,4
426,4
427,4
428,3
429,4
430,5
431,5
432,6
433,7
434,6
435,5
436,3
437,3
438,4
439,5
440,3
441,4
442,3
443,4
444,4
445,5
446,4
447,4
448,3
449,7
450,4
451,4
452,3
453,3
454,5
455,4
456,5
457,4
458,4
459,3
460,3
461,3
462,4
463,3
464,5
465,3
466,3
467,4
468,6
469,4
470,5
471,5
472,4
473,5
474,3
475,3
476,5
477,3
478,3
479,3
480,4
481,3
482,5
483,3
484,3
485,4
486,5
487,3
488,5
489,3
490,5
491,4
492,3
493,3
494,4
495,4
496,4
497,4
498,3
499,5
500,3
501,3
502,4
503,6
504,3
505,7
506,5
507,4
508,4
509,4
510,3
511,5
512,7
513,4
514,5
515,3
516,6
517,5
518,3
519,5
520,3
521,5
522,3
523,3
524,6
525,4
526,4
527,4
528,4
529,3
530,3
531,3
532,4
533,5
534,4
535,6
536,7
537,3
538,6
539,4
540,5
541,3
542,4
543,4
544,5
545,6
546,3
547,5
548,5
549,4
550,7
551,4
552,6
553,6
554,3
555,4
556,5
557,6
558,3
559,3
560,3
561,4
562,4
563,4
564,3
565,3
566,7
567,6
568,3
569,6
570,3
571,4
572,4
573,4
574,7
575,4
576,4
577,4
578,4
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,6
587,4
588,4
589,3
590,4
591,3
592,3
593,6
594,3
595,4
596,3
597,7
598,5
599,3
600,4
601,3
602,3
603,3
604,3
605,3
606,3
607,4
608,3
609,4
610,7
611,7
612,3
613,5
614,3
615,4
